,frequency
0,0.169482594
1,0.177207578
2,0.166052587
3,0.163289071
4,0.158804466
5,0.16677084
6,0.178465035
7,0.160929582
8,0.17278607
9,0.180031225
10,0.164892001
11,0.179093906
12,0.166538727
13,0.185263121
14,0.181582661
15,0.167102115
16,0.17586076
17,0.16443571
18,0.149142387
19,0.162025855
20,0.165633927
21,0.173521975
22,0.177910089
23,0.173932321
24,0.2701728929
25,0.164509603
26,0.164798969
27,0.170543067
28,0.156666169
29,0.17561525
30,0.167999221
31,0.161509293
32,0.181878385
33,0.170806234
34,0.166993061
35,0.180841596
36,0.2701728929
37,0.182919573
38,0.18731572
39,0.17253544
40,0.177276698
41,0.178517619
42,0.168961811
43,0.179548459
44,0.173602645
45,0.170828024
46,0.16204629
47,0.178800216
48,0.178656608
49,0.166850219
50,0.162451331
51,0.17270942
52,0.178218634
53,0.182643182
54,0.167738466
55,0.14962115
56,0.177190062
57,0.184438745
58,0.175043284
59,0.172251463
60,0.16636783
61,0.173894977
62,0.175060801
63,0.174237941
64,0.177731877
65,0.178396665
66,0.16844437
67,0.170718136
68,0.179049718
69,0.157101745
70,0.179677558
71,0.169807933
72,0.161359201
73,0.174205063
74,0.177852778
75,0.17456014
76,0.163944793
77,0.189079705
78,0.171267035
79,0.15066161
80,0.178288562
81,0.182641136
82,0.158000361
83,0.171752194
84,0.175632407
85,0.164081362
86,0.155189355
87,0.154276415
88,0.176261472
89,0.170226598
90,0.166892328
91,0.172768362
92,0.182186119
93,0.173393592
94,0.162932391
95,0.180009048
96,0.184021752
97,0.16681243
98,0.169974262
99,0.158341507
100,0.188735101
101,0.171539879
102,0.157541977
103,0.15876042
104,0.171920791
105,0.170292639
106,0.174966851
107,0.183636288
108,0.159800369
109,0.164253665
110,0.165919819
111,0.173234009
112,0.154293443
113,0.171419279
114,0.17129171
115,0.16979429
116,0.188144136
117,0.150972671
118,0.176529545
119,0.189733146
120,0.165019281
121,0.178746211
122,0.164651307
123,0.169340226
124,0.174197664
125,0.162595981
126,0.173995715
127,0.155867357
128,0.180565738
129,0.170228472
130,0.176034757
131,0.180886883
132,0.174846305
133,0.166841129
134,0.280112223
135,0.12097456033
136,0.183551804
137,0.168291337
138,0.178417059
139,0.175616959
140,0.178475299
141,0.158180687
142,0.157574359
143,0.165958969
144,0.166912388
145,0.17536239
146,0.175999628
147,0.178705132
148,0.184763002
149,0.182250723
150,0.173830203
151,0.155458203
152,0.16790538
153,0.189126881
154,0.162749519
155,0.171438294
156,0.183542525
157,0.169824315
158,0.160100946
159,0.178875876
160,0.17797263
161,0.174044673
162,0.156804894
163,0.162318207
164,0.164753578
165,0.166825513
166,0.185449215
167,0.177529179
168,0.160081462
169,0.167358435
170,0.159912422
171,0.163476779
172,0.176007473
173,0.17460457
174,0.154448891
175,0.170933795
176,0.169362322
177,0.2511937383
178,0.167858321
179,0.158715359
180,0.16647971
181,0.160478703
182,0.176921698
183,0.174756695
184,0.170261209
185,0.188883677
186,0.16346371
187,0.2100441389
188,0.171076447
189,0.160186822
190,0.177923549
191,0.162705763
192,0.157756733
193,0.161214531
194,0.159714466
195,0.178173423
196,0.173475327
197,0.162434893
198,0.175126967
199,0.157776663
200,0.15586486
201,0.164288928
202,0.158518046
203,0.177985315
204,0.12998302832
205,0.171662671
206,0.179737728
207,0.174038187
208,0.144017646
209,0.182089243
210,0.17056427
211,0.148655644
212,0.305412232
213,0.158315122
214,0.166295061
215,0.181869623
216,0.173918251
217,0.171439854
218,0.18551455
219,0.165486226
220,0.166321941
221,0.16689496
222,0.176613822
223,0.17771033
224,0.171027027
225,0.169300981
226,0.152248543
227,0.180801935
228,0.160871172
229,0.174758216
230,0.158804072
231,0.161319815
232,0.169434252
233,0.159507532
234,0.156042724
235,0.161829525
236,0.172128208
237,0.181828888
238,0.153439888
239,0.175184422
240,0.181973713
241,0.172215621
242,0.174642401
243,0.172385907
244,0.168831861
245,0.168925933
246,0.157047449
247,0.179699026
248,0.166790591
249,0.164426497
250,0.169638827
251,0.158213432
252,0.171998545
253,0.171413331
254,0.153832129
255,0.176092474
256,0.176019723
257,0.165898402
258,0.177329557
259,0.155166535
260,0.157115212
261,0.171631055
262,0.171892059
263,0.155820166
264,0.169397786
265,0.1728125
266,0.176958304
267,0.179113246
268,0.2049841389
269,0.165546865
270,0.1717514
271,0.15417088
272,0.158831524
273,0.172536665
274,0.164484668
275,0.156168033
276,0.175655299
277,0.157715667
278,0.170725718
279,0.154196194
280,0.164860636
281,0.169352369
282,0.176904574
283,0.183606115
284,0.16116528
285,0.173332167
286,0.167848936
287,0.181754335
288,0.1567605
289,0.17529132
290,0.164351171
291,0.17718504
292,0.173434799
293,0.176186534
294,0.183296094
295,0.193388703
296,0.164792529
297,0.153904089
298,0.177447391
299,0.191655301
300,0.160086968
301,0.180084031
302,0.09018289932
303,0.183646805
304,0.181999029
305,0.168964707
306,0.182937194
307,0.163455741
308,0.169207688
309,0.220031383
310,0.175094576
311,0.182737236
